Team Name,Player ID,Player Name,Position,Jersey
Gor Mahia,725,Mohamed Shaban Jagason,Forward,0
Gor Mahia,727,Ebenezer Adu-kwaw,Forward,11
KCB,46,Elvis Ochoro Ochieng,Goalkeeper,39
KCB,126,Bonphas Munyasa,Goalkeeper,22
KCB,819,Arnold Matumele Monzobo,Goalkeeper,1
KCB,3,Siraj Mohammed,Defender,24
KCB,60,Rowland Makati,Defender,27
KCB,116,Nashon Wekesa,Defender,25
KCB,119,Nashon Alembi Nanyendo,Defender,5
KCB,128,Kevin Okumu,Defender,27
KCB,129,Raydone Munane,Defender,2
KCB,136,Lameck Oloo,Defender,21
KCB,227,Gedeon Were,Defender,16
KCB,326,Victor Okello Odhiambo,Defender,3
KCB,374,Amatton Samunya,Defender,23
KCB,495,Elvis Noor,Defender,16
KCB,771,Clyde Senaji,Defender,4
KCB,811,Fadhili Masoud,Defender,21
KCB,813,Josphat Andafu Makhwana,Defender,26
KCB,881,Memphrey Wandera,Defender,13
KCB,104,Boniface Omondi,Midfielder,7
KCB,122,Farraj Ominde,Midfielder,4
KCB,123,Francis Kahiro,Midfielder,32
KCB,130,Matthias Isogoli,Midfielder,19
KCB,131,December Kisakah,Midfielder,14
KCB,135,Danson Namasaka,Midfielder,17
KCB,170,Fortune Omoto,Midfielder,8
KCB,421,Dennis Maruti Kweyu,Midfielder,6
KCB,488,Humphrey Mieno,Midfielder,28
KCB,574,David Sakwa,Midfielder,19
KCB,715,Richard Omondi,Midfielder,18
KCB,812,Tedja Ceface Wanumbi,Midfielder,0
KCB,818,Apollo Otieno,Midfielder,15
KCB,889,Omar Chirchir,Midfielder,0
KCB,891,Samuel Feargod Temidayo Akinbinu,Midfielder,31
KCB,56,Kelvin Etemesi,Forward,20
KCB,132,Vincent Ondabu,Forward,10
KCB,133,Patrick Otieno,Forward,7
KCB,210,Francis Kahata,Forward,25
KCB,406,Shadrack Simiyu,Forward,0
KCB,426,Mathew Rodgers Angal,Forward,30
KCB,638,Didmus Ongocho,Forward,22
KCB,820,Yafessi Mubiru,Forward,9
Kakamega Homeboyz,139,Patrick Matasi,Goalkeeper,38
Kakamega Homeboyz,150,Simon Masaka,Goalkeeper,39
Kakamega Homeboyz,174,Brian Odhiambo,Goalkeeper,1
Kakamega Homeboyz,567,Ibrahim Wanzala,Goalkeeper,34
Kakamega Homeboyz,850,Daniel Ambuche,Goalkeeper,20
Kakamega Homeboyz,140,John Omondi Buba,Defender,20
Kakamega Homeboyz,141,Boniface Onyango,Defender,13
Kakamega Homeboyz,143,Potiphar Odhiambo,Defender,17
Kakamega Homeboyz,450,Junior Masinza,Defender,0
Kakamega Homeboyz,662,Brian Wekesa,Defender,6
Kakamega Homeboyz,816,Denis Buketi,Defender,0
Kakamega Homeboyz,95,Rodgers Ouma,Midfielder,23
Kakamega Homeboyz,134,Derrick Otanga,Midfielder,13
Kakamega Homeboyz,138,Joshua Nyatini,Midfielder,12
Kakamega Homeboyz,144,Glen Otunga Masava,Midfielder,7
Kakamega Homeboyz,145,Eston Omengo Esiye,Midfielder,21
Kakamega Homeboyz,147,Moses Mudavadi,Midfielder,10
Kakamega Homeboyz,154,Salim Murunga,Midfielder,8
Kakamega Homeboyz,158,Oliver Majak Machaka,Midfielder,40
Kakamega Homeboyz,160,Peter Thiong'o,Midfielder,16
Kakamega Homeboyz,243,Samwel Odaro Otieno,Midfielder,16
Kakamega Homeboyz,457,Ben Saul,Midfielder,24
Kakamega Homeboyz,601,Calvin Akala,Midfielder,26
Kakamega Homeboyz,817,Rodgers Musonye,Midfielder,5
Kakamega Homeboyz,890,Shafik Batambuze,Midfielder,6
Kakamega Homeboyz,912,Meshack Mugalla,Midfielder,0
Kakamega Homeboyz,913,Zinedine Wesonga,Midfielder,0
Kakamega Homeboyz,914,William Witambo,Midfielder,0
Kakamega Homeboyz,156,Henry Omollo,Forward,9
Kakamega Homeboyz,453,Nicholas Kipkirui,Forward,0
Kakamega Homeboyz,731,Josphat Lopaga,Forward,14
Kakamega Homeboyz,746,Abubakar Shing'ora,Forward,0
Kakamega Homeboyz,911,Eric Okutu,Forward,0
Kakamega Homeboyz,915,Pistone Mutamba,Forward,18
Kakamega Homeboyz,916,Boniface Nyabuto,Forward,0
Kariobangi Sharks,183,Sebastian Wekesa,Goalkeeper,30
Kariobangi Sharks,435,Wayne Orata,Goalkeeper,40
Kariobangi Sharks,615,Kevin Wanjau,Goalkeeper,60
Kariobangi Sharks,673,Collins Omondi Obwalo,Goalkeeper,16
Kariobangi Sharks,164,Faiz Opande,Defender,27
Kariobangi Sharks,165,Kevinluke Otiala,Defender,25
Kariobangi Sharks,167,Geoffrey Omondi,Defender,3
Kariobangi Sharks,175,Ghai Panchol,Defender,2
Kariobangi Sharks,176,Timothy Ekhavi,Defender,14
Kariobangi Sharks,177,Jacob Odhiambo,Defender,24
Kariobangi Sharks,186,Franklyne Okello,Defender,35
Kariobangi Sharks,427,Ian Taifa Karani,Defender,4
Kariobangi Sharks,680,Costah Anjeo Nzuva,Defender,3
Kariobangi Sharks,9,Izzadin Juma,Midfielder,10
Kariobangi Sharks,29,Jacob Onyango,Midfielder,26
Kariobangi Sharks,169,Keagan Ndemi,Midfielder,28
Kariobangi Sharks,173,Steve Bwire Mbulere,Midfielder,19
Kariobangi Sharks,181,Victor Ngume,Midfielder,7
Kariobangi Sharks,184,Zablon Kutela,Midfielder,17
Kariobangi Sharks,187,Razel Nicholas Onyango,Midfielder,12
Kariobangi Sharks,188,Frankline Amollo,Midfielder,23
Kariobangi Sharks,189,Abdiakim Sparo,Midfielder,34
Kariobangi Sharks,213,Daniel Musamali,Midfielder,7
Kariobangi Sharks,329,Wayne Dalvine Otieno,Midfielder,10
Kariobangi Sharks,433,Tony Gogah,Midfielder,12
Kariobangi Sharks,480,Humphrey Aroko Omondi,Midfielder,18
Kariobangi Sharks,494,Evans Ochieng,Midfielder,22
Kariobangi Sharks,583,Patillah Omotto,Midfielder,8
Kariobangi Sharks,603,Alfred Muka,Midfielder,20
Kariobangi Sharks,713,Wayne Mbuya,Midfielder,21
Kariobangi Sharks,764,Eusters Chasara,Midfielder,5
Kariobangi Sharks,821,Habib Mohammed Sarwari,Midfielder,0
Kariobangi Sharks,823,Abdallah Swaleh,Midfielder,34
Kariobangi Sharks,843,Yusuf Hassan,Midfielder,34
Kariobangi Sharks,853,Armstrong Omondi Juma,Midfielder,0
Kariobangi Sharks,858,Raphael Omondi,Midfielder,11
Kariobangi Sharks,172,Ally Salum Omar,Forward,9
Kariobangi Sharks,182,Pawell Shisima,Forward,22
Kariobangi Sharks,628,Markvivan Kesa,Forward,29
Kariobangi Sharks,882,David Majak,Forward,6
Kenya Police,190,Job Ochieng,Goalkeeper,35
Kenya Police,201,Reuben Juma,Goalkeeper,31
Kenya Police,589,Daniel Ochieng Ogemba,Goalkeeper,1
Kenya Police,917,Livingstone Maneno Chacha,Goalkeeper,33
Kenya Police,153,Enock Masinza,Defender,25
Kenya Police,191,Daniel Sakari,Defender,24
Kenya Police,192,Baraka Badi,Defender,22
Kenya Police,193,Charles Ouma,Defender,12
Kenya Police,194,David Ochieng,Defender,4
Kenya Police,202,Rashid Toha,Defender,18
Kenya Police,203,Kelvin Ouma,Defender,2
Kenya Police,211,Abud Omar,Defender,3
Kenya Police,491,Geoffrey Onyango,Defender,27
Kenya Police,579,Emmanuel Erupe,Defender,36
Kenya Police,855,Jacques Bowamba,Defender,16
Kenya Police,856,Hernest Malonga Briyock,Defender,38
Kenya Police,157,Ambrose Sifuna Mayuro,Midfielder,7
Kenya Police,197,Marvin Nabwire,Midfielder,6
Kenya Police,199,Brian Musa,Midfielder,8
Kenya Police,205,Alvin Mang'eni,Midfielder,17
Kenya Police,206,David Simiyu,Midfielder,29
Kenya Police,207,Alfred Leku,Midfielder,14
Kenya Police,208,Eric Zakayo,Midfielder,19
Kenya Police,209,Clinton Kinanga,Midfielder,21
Kenya Police,337,Edward Omondi,Midfielder,11
Kenya Police,528,Brian Otieno,Midfielder,18
Kenya Police,595,Brian Okoth,Midfielder,15
Kenya Police,599,Chris Opondo,Midfielder,23
Kenya Police,722,Musengo Tychick,Midfielder,28
Kenya Police,762,Albert Otieno,Midfielder,20
